Year,Avg N of pensions,% increase YOY
2000,108281,
2001,109956,0,0155
2002,112105,0,0195
2003,114505,0,0214
2004,117020,0,022
2005,119923,0,0248
2006,123193,0,0273
2007,126701,0,0285
2008,130196,0,0276
2009,133995,0,0292
2010,138483,0,0335
2011,143249,0,0344
2012,148225,0,0347
2013,153080,0,0328
2014,158645,0,0364
2015,164679,0,038
2016,170618,0,0361
2017,175893,0,0309
2018,181281,0,0306
2019,187412,0,0338
2020,194441,0,0375
2021,200974,0,0336
2022,208212,0,036
2023,216100,0,0379
